Category,Description,Nutrient Data Bank Number,Data.Household Weights(Gram),Data.Household Weight Description
BEANS,"BEANS,SNAP,YEL,FRZ,CKD,BLD,DRND,W/SALT",11733,135,1 cup
BEANS,"BEANS,SNAP,YEL,CND,REG PK,DRND SOL",11932,135,1 cup
BEANS,"BEANS,LIQ FROM STWD KIDNEY BNS",43114,140,1 cup
BEANS,"BEANS,CHILI,BARBECUE,RANCH STYLE,CKD",43109,143,1 large
BEANS,"BEANS,SNAP,GRN,CND,REG PK,DRND SOL",11056,156,1 cup
BEANS,"BEANS,PINK,MATURE SEEDS,CKD,BLD,W/SALT",16341,169,1 cup
BEANS,"BEANS,PINTO,MATURE SEEDS,CKD,BLD,W/SALT",16343,171,1 cup
BEANS,"BEANS,WINGED,MATURE SEEDS,CKD,BLD,WO/SALT",16136,172,1 cup
BEANS,"BEANS,BLACK,MATURE SEEDS,CKD,BLD,W/SALT",16315,172,1 cup
BEANS,"BEANS,CRANBERRY (ROMAN),MATURE SEEDS,CKD,BLD,W/SALT",16320,177,1 cup
BEANS,"BEANS,FRENCH,MATURE SEEDS,CKD,BLD,W/SALT",16323,177,1 cup
BEANS,"BEANS,GREAT NORTHERN,MATURE SEEDS,CKD,BLD,W/SALT",16325,177,1 cup
BEANS,"BEANS,KIDNEY,ALL TYPES,MATURE SEEDS,CKD,BLD,W/SALT",16328,177,1 cup
BEANS,"BEANS,KIDNEY,CALIFORNIA RED,MATURE SEEDS,CKD,BLD,W/SALT",16331,177,1 cup
BEANS,"BEANS,KIDNEY,RED,MATURE SEEDS,CKD,BLD,W/SALT",16333,177,1 cup
BEANS,"BEANS,KIDNEY,ROYAL RED,MATURE SEEDS,CKD,BLD W/SALT",16336,177,1 cup
BEANS,"BEANS,YEL,MATURE SEEDS,CKD,BLD,W/SALT",16348,177,1 cup
BEANS,"BEANS,SML WHITE,MATURE SEEDS,CKD,BLD,W/SALT",16346,179,1 cup
BEANS,"BEANS,NAVY,MATURE SEEDS,CKD,BLD,W/SALT",16338,182,1 cup
BEANS,"BEANS,KIDNEY,MATURE SEEDS,SPROUTED,RAW",11029,184,1 cup
BEANS,"BEANS,BLACK TURTLE SOUP,MATURE SEEDS,CKD,BLD,W/SALT",16317,185,1 cup
BEANS,"BEANS,ADZUKI,MATURE SD,CKD,BLD,W/SALT",16302,230,1 cup
BEANS,"BEANS,SHELLIE,CND,SOL & LIQUIDS",11050,245,1 cup
BEANS,"BEANS,PINTO,IMMAT SEEDS,FRZ,UNPREP",11048,284,"1 package,  (10 oz)"
BEANS,"BEANS,PINTO,IMMAT SEEDS,FRZ,CKD,BLD,DRND,WO/SALT",11049,284,"1 package,  (10 oz) yields"
BEANS,"BEANS,PINTO,IMMAT SEEDS,FRZ,CKD,BLD,DRND,W/SALT",11720,284,"1 package,  (10 oz) yields"
BEECHNUTS,"BEECHNUTS,DRIED",12077,28.35,1 oz
BEEF,"BEEF,CURED,DRIED",13350,28,10 slices
BEEF,"BEEF,CARCASS,LN&FAT,CHOIC,RAW",13001,28.35,1 oz
BEEF,"BEEF,CARCASS,LN&FAT,SEL,RAW",13002,28.35,1 oz
BEEF,"BEEF,RTL CUTS,FAT,RAW",13019,28.35,1 oz
BEEF,"BEEF,RTL CUTS,FAT,CKD",13020,28.35,1 oz
BEEF,"BEEF,BRISKET,WHL,LN,ALL GRDS,RAW",13023,28.35,1 oz
BEEF,"BEEF,FLANK,LN&FAT,0""FAT,CHOIC,RAW",13065,28.35,1 oz
BEEF,"BEEF,FLANK,LN,0"" FAT,CHOIC,RAW",13068,28.35,1 oz
BEEF,"BEEF,RIB,EYE,SML END (RIBS 10-12),LN&FAT,0""FAT,CHOIC,RAW",13095,28.35,1 oz
BEEF,"BEEF,RIB,EYE,SML END (RIBS 10-12),LN,0""FAT,CHOIC,RAW",13097,28.35,1 oz
BEEF,"BEEF,RIB,SHORTRIBS,LN&FAT,CHOIC,RAW",13147,28.35,1 oz
BEEF,"BEEF,RIB,SHORTRIBS,LN ONLY,CHOIC,RAW",13149,28.35,1 oz
BEEF,"BEEF,VAR MEATS&BY-PRODUCTS,BRAIN,RAW",13318,28.35,1 oz
BEEF,"BEEF,VAR MEATS&BY-PRODUCTS,HEART,RAW",13321,28.35,1 oz
BEEF,"BEEF,VAR MEATS&BY-PRODUCTS,KIDNEYS,RAW",13323,28.35,1 oz
BEEF,"BEEF,VAR MEATS&BY-PRODUCTS,LUNGS,RAW",13328,28.35,1 oz
BEEF,"BEEF,VAR MEATS&BY-PRODUCTS,MECHANICALLY SEPARATED BF,RAW",13330,28.35,1 oz
BEEF,"BEEF,VAR MEATS&BY-PRODUCTS,PANCREAS,RAW",13331,28.35,1 oz
BEEF,"BEEF,VAR MEATS&BY-PRODUCTS,SPLEEN,RAW",13333,28.35,1 oz
BEEF,"BEEF,VAR MEATS & BY-PRODUCTS,SUET,RAW",13335,28.35,1 oz
BEEF,"BEEF,VAR MEATS&BY-PRODUCTS,THYMUS,RAW",13337,28.35,1 oz
BEEF,"BEEF,VAR MEATS&BY-PRODUCTS,TONGUE,RAW",13339,28.35,1 oz
BEEF,"BEEF,VAR MEATS&BY-PRODUCTS,TRIPE,RAW",13341,28.35,1 oz
BEEF,"BEEF,CURED,CORNED BF,BRISKET,RAW",13346,28.35,1 oz
BEEF,"BEEF,CURED,CORNED BF,CND",13348,28.35,1 oz
