Category,Description,Data.Household Weights(Gram),Data.Household Weight Description
BABYFOOD,"BABYFOOD,DSSRT,CHERRY VANILLA PUDD,JR",28.35,1 oz
BABYFOOD,"BABYFOOD,DSSRT,FRUIT PUDD,ORANGE,STR",28.35,1 oz
BABYFOOD,"BABYFOOD,DSSRT,TROPICAL FRUIT,JR",28.35,1 oz
BABYFOOD,"BABYFOOD,DINNER,MXD VEG,STR",28.35,1 oz
BABYFOOD,"BABYFOOD,DINNER,MXD VEG,JR",28.35,1 oz
BABYFOOD,"BABYFOOD,VEG,GARDEN VEG,STR",28.35,1 oz
BABYFOOD,"BABYFOOD,VEG,MIX VEG STR",28.35,1 oz
BABYFOOD,"BABYFOOD,PLUMS,BANANAS&RICE,STR",28.35,1 oz
BABYFOOD,"BABYFOOD,DINNER,TURKEY,RICE,AND VEG,TODD",28.35,1 oz
BABYFOOD,"BABYFOOD,DINNER,APPLS&CHICK,STR",28.35,1 oz
BABYFOOD,"BABYFOOD,DINNER,POTATOES W/CHS&HAM,TODD",28.35,1 oz
BABYFOOD,"BABYFOOD,CRL,BARLEY,PREP W/WHL MILK",28.35,1 oz
BABYFOOD,"BABYFOOD,CRL,HI PROT,PREP W/WHL MILK",28.35,1 oz
BABYFOOD,"BABYFOOD,CRL,MXD,PREP W/WHL MILK",28.35,1 oz
BABYFOOD,"BABYFOOD,CRL,MXD,W/BANANAS,PREP W/WHL MILK",28.35,1 oz
BABYFOOD,"BABYFOOD,CRL,OATMEAL,PREP W/WHL MILK",28.35,1 oz
BABYFOOD,"BABYFOOD,CRL,OATMEAL,W/BANANAS,PREP W/WHL MILK",28.35,1 oz
BABYFOOD,"BABYFOOD,CRL,OATMEAL,W/HONEY,PREP W/WHL MILK",28.35,1 oz
BABYFOOD,"BABYFOOD,CRL,RICE,PREP W/WHL MILK",28.35,1 oz
BABYFOOD,"BABYFOOD,CRL,RICE,W/HONEY,PREP W/WHL MILK",28.35,1 oz
BABYFOOD,"BABYFOOD,CRL,MXD,W/HONEY,PREP W/WHL MILK",28.35,1 oz
BABYFOOD,"BABYFOOD,CRL,HI PROT,W/APPL&ORANGE,PREP W/WHL MILK",28.35,1 oz
BABYFOOD,"BABYFOOD,CRL,RICE,W/BANANAS,PREP W/WHL MILK",28.35,1 oz
