Category,Description,Nutrient Data Bank Number,Data.Alpha Carotene,Data.Ash,Data.Beta Carotene,Data.Beta Cryptoxanthin,Data.Carbohydrate,Data.Cholesterol,Data.Choline,Data.Fiber,Data.Kilocalories,Data.Lutein and Zeaxanthin,Data.Lycopene,Data.Manganese,Data.Niacin,Data.Pantothenic Acid,Data.Protein,Data.Refuse Percentage,Data.Retinol,Data.Riboflavin,Data.Selenium,Data.Sugar Total,Data.Thiamin,Data.Water,Data.Fat.Monosaturated Fat,Data.Fat.Polysaturated Fat,Data.Fat.Saturated Fat,Data.Fat.Total Lipid,Data.Household Weights(Gram),Data.Household Weight Description,Data.Major Minerals.Calcium,Data.Major Minerals.Copper,Data.Major Minerals.Iron,Data.Major Minerals.Magnesium,Data.Major Minerals.Phosphorus,Data.Major Minerals.Potassium,Data.Major Minerals.Sodium,Data.Major Minerals.Zinc,Data.Vitamins.Vitamin A - IU,Data.Vitamins.Vitamin A - RAE,Data.Vitamins.Vitamin B12,Data.Vitamins.Vitamin B6,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Vitamins.Vitamin K
CORN-BASED,CORN-BASED EXTRUDED ONION-FLAVOR,19006,0,2.6,0,0,57.3,5,0,1,536,0,0,0.078,1.41,0.401,6.5,0,10,0.12,3.8,0,0.21,1.9,2.14,0.84,26.79,31.7,28.35,1 oz,36,0.059,1.27,25,76,123,952,0.48,315,24,0,0.116,0.1,0,0
CORN-BASED,CORN-BASED EXTRUDED PUFFS OR TWISTS CHEESE-FLAVOR,19007,33,2.6,51,0,65.1,0,21,3.900000095,499,879,0,0.202,3.18,0.262,7.7,0,2,0.31,10.6,4.829999924,0.22,2,13.36,3.14,4.34,22.6,28.35,1 oz,29,0.118,3.72,28,72,143,981,0.33,120,8,0,0.148,1.8,2.69,5.1
CORNMEAL,CORNMEAL DEGERMED ENR YEL,20020,63,1.13,97,0,76.89,0,22,7.300000191,362,1355,0,0.498,3.632,0.425,8.12,0,0,0.201,15.5,0.639999986,0.385,10.26,0.948,1.638,0.505,3.59,122,1 cup,6,0.193,3.45,127,241,287,35,1.82,214,11,0,0.304,0,0.42,0.3
CORNMEAL,CORNMEAL SELF-RISING BOLTED WITH WHEAT FLR ENR YEL,20023,0,5.45,0,0,70.28,0,0,6.699999809,334,0,0,0.498,5.291,0.425,8.28,0,0,0.4,0,0,0.661,12.59,0.897,1.55,0.478,3.4,122,1 cup,361,0.15,5.76,86,804,255,1247,2,469,23,0,0.54,0,0,0
CORNMEAL,CORNMEAL WHOLE-GRAIN YEL,20018,63,0.46,97,0,82.75,0,0,1.899999976,375,1355,0,0.056,2.656,0.052,5.59,0,0,0.058,8,0.639999986,0.074,9.81,0.274,0.695,0.171,1.39,126,1 cup,2,0.142,0.91,18,60,90,1,0.37,214,11,0,0.097,0,0.15,0.3
CORNMEAL,CORNMEAL DEGERMED UNENR YEL,20421,0,0.27,0,0,30.86,0,0,1.799999952,158,0,0,0.322,0.4,0.112,5.8,0,0,0.02,26.4,0.560000002,0.02,62.13,0.131,0.319,0.176,0.93,140,1 cup,7,0.1,1.28,18,58,44,1,0.51,0,0,0,0.049,0,0.06,0
CORNMEAL,CORNMEAL DEGERMED UNENR WHITE,20521,0,0.55,0,0,30.59,0,0,1.799999952,157,0,0,0.322,0.4,0.112,5.8,0,0,0.02,26.4,0.560000002,0.02,62.13,0.131,0.319,0.176,0.93,140,1 cup,7,0.1,0.5,18,58,44,131,0.51,0,0,0,0.049,0,0.06,0
CORNMEAL,CORNMEAL SELF-RISING BOLTED PLAIN ENR YEL,20022,63,0.54,97,0,79.15,0,11,4,369,1355,0,0.182,5.309,0.282,7.25,0,0,0.416,11.6,1.659999967,0.614,11.26,0.347,0.734,0.194,1.79,158.88,1 cup,3,0.076,4.32,35,105,152,7,0.71,214,11,0,0.198,0,0.16,0
CORNMEAL,CORNMEAL SELF-RISING DEGERMED ENR YEL,20024,0,4.98,0,0,73.43,0,0,6.300000191,348,0,0,0.516,5.202,0.383,8.41,0,0,0.433,0,0,0.713,10.33,0.751,1.297,0.4,2.85,170,1 cup,299,0.139,4.95,54,651,207,1319,1.39,287,14,0,0.385,0,0,0
CORNNUTS,CORNNUTS PLAIN,19008,0,2.89,0,0,52.38,7,12,1.899999976,565,643,0,0.089,4.706,0.98,5.83,0,38,0.159,8.1,2.869999886,0.16,1.78,10.513,19.089,5.658,37.11,28.35,1 oz,58,0.046,1.75,19,128,189,910,0.55,127,38,0.48,0.079,0,4.7,1.3
